geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
88650,-27.984127336018226,-49.58173860372601,urubici,SC
88650,-27.98930988810526,-49.587494758888944,urubici,SC
88650,-27.99020255413033,-49.58422230854364,urubici,SC
88780,-28.10913995717811,-48.68132802156992,imbituba,SC
88780,-28.112327999999998,-48.682968749999986,imbituba,SC
88780,-28.122736701025943,-48.651876410489606,imbituba,SC
89036,-26.91244110574757,-49.100738243551255,blumenau,SC
89036,-26.912473887207426,-49.104104329892444,blumenau,SC
89036,-26.912907619590648,-49.08935934415338,blumenau,SC
89210,-26.321707529286133,-48.839204691932544,joinville,SC
89210,-26.324007841796995,-48.83912807729816,joinville,SC
89210,-26.32450242097765,-48.839480311481616,joinville,SC
89254,-26.448030230365273,-49.1171933727279,jaragua do sul,SC
89254,-26.449965481822364,-49.118930891049764,jaragua do sul,SC
89254,-26.45107660202549,-49.12810444490383,jaragua do sul,SC
89253,-26.478559601454435,-49.0919383915301,jaragua do sul,SC
89253,-26.4814793119626,-49.09158109533156,jaragua do sul,SC
89253,-26.484517398797585,-49.114404245374644,jaragua do sul,SC
89560,-26.979588221276426,-51.17862691243429,videira,SC
89560,-26.983857362417172,-51.16366400910604,videira,SC
89560,-26.983899818388483,-51.18054140093918,videira,SC
89760,-27.182249999999996,-52.23279149999999,ita,SC
89760,-27.184166373659195,-52.226397613861245,ita,SC
89760,-27.244982999999948,-52.316800999999955,ita,SC
89701,-27.209682373823966,-52.01847799645827,concordia,SC
89701,-27.211807695727405,-52.0209908478637,concordia,SC
89701,-27.213428663166034,-52.03293851110951,concordia,SC
90035,-30.021020045530523,-51.21397583556458,porto alegre,RS
90035,-30.021059881758944,-51.21380765000869,porto alegre,RS
90035,-30.023276725814043,-51.21853522277608,porto alegre,RS
90020,-29.988982456287147,-51.13323509645674,porto alegre,RS
90020,-30.02699075207483,-51.22459921591768,porto alegre,RS
90020,-30.02704843297362,-51.225623171533194,porto alegre,RS
90450,-30.02197490941802,-51.190563802693696,porto alegre,RS
90450,-30.02219279156327,-51.18580206370817,porto alegre,RS
90450,-30.022543990564937,-51.18754437053485,porto alegre,RS
90460,-30.03391756036128,-51.17884794491883,porto alegre,RS
90460,-30.034314534826052,-51.17910894491885,porto alegre,RS
90460,-30.03487243963872,-51.17939758061638,porto alegre,RS
