seller_id,seller_zip_code_prefix,seller_city,seller_state
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
bba3293d6f5d5af2f415e004e8b93ae3,04726,sao paulo,SP
c2d70ce2c5d0a2eb75e78668236e6dc8,04275,sao paulo,SP
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
b18dc380845b24038cfc48006478f099,09951,diadema,SP
8b2492b7ff4468839593fafeed55bad9,24451,sao goncalo,RJ
6cd68b3ed6d59aaa9fece558ad360c0a,31255,belo horizonte,MG
3df020b72d3d44b3af9d110fa3940b65,15704,jales,SP
2d42ebcda99fd55f6f4bc2f1ca035d50,76400,uruacu,GO
289cdb325fb7e7f891c38608bf9e0962,31570,belo horizonte,SP
db4350fd57ae30082dec7acbaacc17f9,03126,sao paulo,SP
bfd27a966d91cfaafdb25d076585f0da,13930,serra negra,SP
f680f85bee2d253556ac91be391d2c82,06365,carapicuiba,SP
7ea5bfa6c340f58f8e71fc1f0412b0d6,30180,belo horizonte,MG
bc2ac6b95e1accce9858528ee566c17e,13085,campinas,SP
4aba391bc3b88717ce08eb11e44937b2,45816,arraial d'ajuda (porto seguro),BA
cd68562d3f44870c08922d380acae552,14050,ribeirao preto,SP
33ac3e28642ab8bda860a2f693000e78,06717,cotia,SP
18a349e75d307f4b4cc646a691ed4216,01319,sao paulo,SP
c13fb473e7cb8b83ccd543c094df0608,05319,sao paulo,SP
9596c870880d900012f2e8e6e30d06d7,37074,varginha,MG
7813ea3ebd9411dc600b4dd01f7a97b9,06018,osasco,SP
6235903333ba7de1928c869e268e5964,89650,treze tilias,SC
6338ea67c41078a46ad99cc009654956,95170,farroupilha,RS
916c9de0b5ad957346eeeb12f332687e,80240,curitiba,PR
f0b47fbbc6dee9aafe415a6e33051b3f,09360,maua,SP
31344c16881c08a8a72c6d2eb29918c1,36500,uba,MG
7681ef142fd2c19048da7430856b5588,07074,guarulhos,SP
52f0fe436a347ddad7ed5f9aa4e27eaa,01129,sao paulo,SP
8cc6a0e5738e61a87b03c78b2ba9db4b,37795,andradas,MG
3ab971ce71839580d2ae5b4e40fe8044,03210,sao paulo,SP
5160d23075764e18e07c1f4a87fad743,09720,sao bernardo do campo,SP
86ff3eaef0267069cc891a2ed9d10a17,88135,palhoca,SC
b372ee768ed69e46ca8cdbd267aa7a38,15013,sao jose do rio preto,SP
d20b021d3efdf267a402c402a48ea64b,14940,ibitinga,SP
3361277dc30b7cccdb0c286b24219756,87015,maringa,PR
99a54764c341d5dc80b4a8fac4eba3fb,03273,sao paulo,SP
8f119a0aee85c0c8fc534629734e94fd,06440,barueri,SP
4e8dacf3d38f281ae26c3e0321d92d88,08420,sao paulo,SP
42ef3192a9ff87a22d1867b74b3ee205,09090,santo andre,SP
eed78ac17f7f795a19a709745f00cd4e,18608,botucatu,SP
4bfc7a4a1cf8d4d2121c27422d9e50b5,03111,sao paulo,SP
4371b634e0efc0e22b09b52907d9d469,02028,sao paulo,SP
538caafddff204241cecbf3a02e6b3cf,04516,sao paulo,SP
37515688008a7a40ac93e3b2e4ab203f,17900,dracena,SP
71039d19d4303bf9054d69e9a9236699,03018,sao paulo,SP
e504a4e2efaa45cbff7e268a2c58c956,13520,sao pedro,SP
13074f016982ff2bd6c58ced8682f000,95705,bento goncalves,RS
c5f7feb04a6a1fb3596322bfc3cf1917,09571,sao caetano do sul,SP
e48b04bf1aa1ef711caebeb7aede6180,80240,curitiba,PR
c8660dcf9ba70575f45d80fe28c27713,02040,sao paulo,SP
d66c305afaec317ebee552073a674429,33936,ribeirao das neves,MG
d5ba419e26d246a0719437cf37d9b46d,03437,sao paulo,SP
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP
